排名,IP地址,地区,延迟(ms),下载速度(MB/s),端口,测速类型
1,2606:4700:51:7bda:b0f:a7b5:18a9:aee8,新加坡,59,6.09,443,地区测速
2,2606:4700:440d:bf13:b835:eb1e:6ec2:5208,新加坡,58,5.76,443,地区测速
3,2a06:98c1:51:fb2e:f74b:4beb:64bc:fac6,新加坡,58,5.49,443,地区测速
4,2a06:98c1:56:ba1b:3264:a17d:249b:7c0c,新加坡,58,5.05,443,地区测速
5,2606:4700:5b:ef4f:4c7d:365c:86f0:ab9c,新加坡,59,4.82,443,地区测速
6,2a06:98c1:310f:1c63:306a:4278:84ef:9222,新加坡,58,4.78,443,地区测速
7,2606:4700:51:2633:90f:8b1:8eca:ec12,新加坡,60,4.68,443,地区测速
8,2606:4700:4402:bb84:5cab:4c5f:f46f:9ec9,新加坡,58,4.47,443,地区测速
9,2606:4700:4408:767b:5e90:2e5d:8dff:3c37,新加坡,60,3.74,443,地区测速
10,2606:4700:4403:c11:92bf:3ea2:1d30:5967,新加坡,58,3.64,443,地区测速
